dataset,space_dim,method,p_diff,bidirectional,heal_eigenvectors,vector_accuracy,selection_accuracy,gt_data_mse
mnist,10,label_based,0.0,False,False,0.8,0.9,0.06917847692966461
mnist,10,label_based,0.0,False,True,0.79,0.9620253164556962,0.009040293283760548
mnist,10,label_based,0.0,True,False,0.8,0.9875,0.043555550277233124
mnist,10,label_based,0.0,True,True,0.79,1.0,0.008563920855522156
mnist,10,label_based,0.01,False,False,0.82,0.926829268292683,0.05280378460884094
mnist,10,label_based,0.01,False,True,0.82,0.9512195121951219,0.027748197317123413
mnist,10,label_based,0.01,True,False,0.82,1.0,0.022614965215325356
mnist,10,label_based,0.01,True,True,0.82,1.0,0.011175998486578465
mnist,10,label_based,0.05,False,False,0.72,0.8055555555555556,0.6531822085380554
mnist,10,label_based,0.05,False,True,0.74,0.7972972972972973,0.6258164644241333
mnist,10,label_based,0.05,True,False,0.72,0.5138888888888888,0.8138074278831482
mnist,10,label_based,0.05,True,True,0.74,0.5135135135135135,0.8138074278831482
mnist,10,label_based,0.1,False,False,0.56,0.8392857142857143,0.6857804656028748
mnist,10,label_based,0.1,False,True,0.57,0.8421052631578947,0.6841264963150024
mnist,10,label_based,0.1,True,False,0.56,0.5,0.8138665556907654
mnist,10,label_based,0.1,True,True,0.57,0.5087719298245614,0.8138665556907654
mnist,10,label_based,0.2,False,False,0.41,0.7804878048780488,0.7755963802337646
mnist,10,label_based,0.2,False,True,0.41,0.7560975609756098,0.7790695428848267
mnist,10,label_based,0.2,True,False,0.41,0.4878048780487805,0.8134435415267944
mnist,10,label_based,0.2,True,True,0.41,0.4878048780487805,0.8134435415267944
mnist,28,label_based,0.0,False,False,0.3647959183673469,0.6398601398601399,1.1197819709777832
mnist,28,label_based,0.0,False,True,0.4030612244897959,0.7531645569620253,0.29781249165534973
mnist,28,label_based,0.0,True,False,0.3647959183673469,0.5034965034965035,1.1511223316192627
mnist,28,label_based,0.0,True,True,0.4030612244897959,0.9620253164556962,0.10440339148044586
mnist,28,label_based,0.01,False,False,0.3673469387755102,0.6493055555555556,1.1111780405044556
mnist,28,label_based,0.01,False,True,0.40816326530612246,0.721875,0.3286459743976593
mnist,28,label_based,0.01,True,False,0.3673469387755102,0.5104166666666666,1.1509140729904175
mnist,28,label_based,0.01,True,True,0.40816326530612246,0.965625,0.11078913509845734
mnist,28,label_based,0.05,False,False,0.2576530612244898,0.6386138613861386,1.1188380718231201
mnist,28,label_based,0.05,False,True,0.30612244897959184,0.6791666666666667,1.1020729541778564
mnist,28,label_based,0.05,True,False,0.2576530612244898,0.5099009900990099,1.1509716510772705
mnist,28,label_based,0.05,True,True,0.30612244897959184,0.5125,1.150971531867981
mnist,28,label_based,0.1,False,False,0.1875,0.673469387755102,1.12832772731781
mnist,28,label_based,0.1,False,True,0.21301020408163265,0.6227544910179641,1.129664659500122
mnist,28,label_based,0.1,True,False,0.1875,0.5510204081632653,1.1509873867034912
mnist,28,label_based,0.1,True,True,0.21301020408163265,0.5329341317365269,1.1509873867034912
mnist,28,label_based,0.2,False,False,0.06505102040816327,0.5098039215686274,1.1477911472320557
mnist,28,label_based,0.2,False,True,0.07525510204081633,0.5423728813559322,1.1483672857284546
mnist,28,label_based,0.2,True,False,0.06505102040816327,0.5686274509803921,1.1510305404663086
mnist,28,label_based,0.2,True,True,0.07525510204081633,0.4915254237288136,1.1510305404663086
emnist,10,label_based,0.0,False,False,0.98,0.9183673469387755,0.08343156427145004
emnist,10,label_based,0.0,False,True,0.96,0.9791666666666666,0.002627023495733738
emnist,10,label_based,0.0,True,False,0.98,1.0,0.024083901196718216
emnist,10,label_based,0.0,True,True,0.96,1.0,0.002526199212297797
emnist,10,label_based,0.01,False,False,0.96,0.9270833333333334,0.07461987435817719
emnist,10,label_based,0.01,False,True,0.96,0.9583333333333334,0.018207579851150513
emnist,10,label_based,0.01,True,False,0.96,0.9791666666666666,0.026505019515752792
emnist,10,label_based,0.01,True,True,0.96,1.0,0.004045842215418816
emnist,10,label_based,0.05,False,False,0.89,0.9101123595505618,0.20309028029441833
emnist,10,label_based,0.05,False,True,0.9,0.8888888888888888,0.0990237295627594
emnist,10,label_based,0.05,True,False,0.89,1.0,0.08212155848741531
emnist,10,label_based,0.05,True,True,0.9,1.0,0.04575026407837868
emnist,10,label_based,0.1,False,False,0.73,0.8082191780821918,0.8533725142478943
emnist,10,label_based,0.1,False,True,0.8,0.725,0.90489262342453
emnist,10,label_based,0.1,True,False,0.73,0.5068493150684932,0.9768859148025513
emnist,10,label_based,0.1,True,True,0.8,0.5,0.9768859148025513
emnist,10,label_based,0.2,False,False,0.58,0.7586206896551724,0.9460920691490173
emnist,10,label_based,0.2,False,True,0.56,0.75,0.9452008008956909
emnist,10,label_based,0.2,True,False,0.58,0.4827586206896552,0.9768916368484497
emnist,10,label_based,0.2,True,True,0.56,0.5,0.9768916368484497
emnist,28,label_based,0.0,False,False,0.6198979591836735,0.7242798353909465,0.3656429946422577
emnist,28,label_based,0.0,False,True,0.6798469387755102,0.7148217636022514,0.3342370390892029
emnist,28,label_based,0.0,True,False,0.6198979591836735,0.9526748971193416,0.07100464403629303
emnist,28,label_based,0.0,True,True,0.6798469387755102,0.9324577861163227,0.029661158099770546
emnist,28,label_based,0.01,False,False,0.6211734693877551,0.7145790554414785,0.3585858643054962
emnist,28,label_based,0.01,False,True,0.6772959183673469,0.6949152542372882,0.3750044107437134
emnist,28,label_based,0.01,True,False,0.6211734693877551,0.9301848049281314,0.06824988126754761
emnist,28,label_based,0.01,True,True,0.6772959183673469,0.9510357815442562,0.04168011620640755
emnist,28,label_based,0.05,False,False,0.5,0.6530612244897959,1.1676150560379028
emnist,28,label_based,0.05,False,True,0.548469387755102,0.6604651162790698,1.1693629026412964
emnist,28,label_based,0.05,True,False,0.5,0.49489795918367346,1.188843846321106
emnist,28,label_based,0.05,True,True,0.548469387755102,0.4930232558139535,1.188843846321106
emnist,28,label_based,0.1,False,False,0.3125,0.5877551020408164,1.1803154945373535
emnist,28,label_based,0.1,False,True,0.3520408163265306,0.6195652173913043,1.1829073429107666
emnist,28,label_based,0.1,True,False,0.3125,0.49387755102040815,1.1888691186904907
emnist,28,label_based,0.1,True,True,0.3520408163265306,0.4963768115942029,1.1888691186904907
emnist,28,label_based,0.2,False,False,0.1096938775510204,0.5697674418604651,1.1872421503067017
emnist,28,label_based,0.2,False,True,0.1211734693877551,0.5684210526315789,1.1875087022781372
emnist,28,label_based,0.2,True,False,0.1096938775510204,0.5348837209302325,1.1888808012008667
emnist,28,label_based,0.2,True,True,0.1211734693877551,0.5473684210526316,1.1888808012008667
